"game_id","match_id","game_nbr","score_w","score_l","w_team_id","l_team_id","skill_lvl","scoring_type","ball_type","dt_played"
G347,M219,1,12,10,T311,T310,Pro,STANDARD_DOUBLES,D40,2022-10-25
G481,M317,1,5,5,T391,T390,"4.0",STANDARD_DOUBLES,U,2023-10-01
G361,M227,1,15,9,T159,T321,"3.5",STANDARD_DOUBLES,FX40,2023-10-21
G107,M54,1,11,4,T78,T82,"4.5",STANDARD_DOUBLES,U,2023-02-25
G104,M52,1,11,5,T78,T79,"4.5",STANDARD_DOUBLES,U,2023-02-25
G114,M61,1,15,13,T82,T78,"4.5",STANDARD_DOUBLES,U,2023-02-25
G370,M225,2,11,9,T320,T319,"5.0",STANDARD_DOUBLES,CORE,2023-10-18
G379,M243,1,11,8,T312,T159,"4.0",STANDARD_DOUBLES,FX40,2023-10-20
G148,M81,3,11,3,T65,T109,Pro,STANDARD_DOUBLES,D40,2022-12-04
G150,M81,4,11,6,T65,T109,Pro,STANDARD_DOUBLES,D40,2022-12-04
G144,M81,1,11,2,T109,T65,Pro,STANDARD_DOUBLES,D40,2022-12-04
G146,M81,2,11,6,T65,T109,Pro,STANDARD_DOUBLES,D40,2022-12-04
G388,M252,1,21,12,T333,T334,"3.5",MLP_DOUBLES_2023,D40,2023-05-16
G396,M256,2,8,5,T342,T341,"4.0",STANDARD_DOUBLES,D40,2023-10-28
G133,M74,2,11,7,T71,T101,Pro,STANDARD_DOUBLES,D40,2023-01-14
G127,M70,2,11,3,T65,T95,Pro,STANDARD_DOUBLES,D40,2023-03-12
G419,M278,1,15,13,T150,T361,"4.0",STANDARD_DOUBLES,D40,2023-11-04
G460,M303,1,15,11,T378,T150,"4.0",STANDARD_DOUBLES,D40,2023-11-04
G466,M307,1,15,1,T382,T380,"5.0",STANDARD_DOUBLES,D40,2023-11-04
G476,M313,1,15,8,T377,T380,"4.0",STANDARD_DOUBLES,D40,2023-11-04
G486,M321,1,11,7,T245,T393,Pro,STANDARD_DOUBLES,FX40,2023-11-09
G491,M326,1,11,8,T312,T159,"4.0",STANDARD_DOUBLES,D40,2023-11-01
G495,M330,1,11,3,T245,T393,Pro,STANDARD_DOUBLES,FX40,2023-11-09
G499,M334,1,11,8,T398,T245,Pro,STANDARD_DOUBLES,FX40,2023-11-10
G503,M338,1,11,4,T245,T398,Pro,STANDARD_DOUBLES,FX40,2023-11-10
G506,M341,1,11,9,T159,T312,"4.0",STANDARD_DOUBLES,D40,2023-11-10
G362,M228,1,12,10,T159,T312,"4.0",STANDARD_DOUBLES,FX40,2023-10-18
G154,M83,1,11,9,T112,T113,"5.0",STANDARD_DOUBLES,FX40,2023-03-26
G371,M235,1,12,10,T322,T159,"4.0",STANDARD_DOUBLES,FX40,2023-10-18
G380,M244,1,15,3,T159,T323,"3.5",STANDARD_DOUBLES,FX40,2023-10-21
G155,M83,3,11,3,T113,T112,"5.0",STANDARD_DOUBLES,FX40,2023-03-26
G153,M83,2,11,8,T113,T112,"5.0",STANDARD_DOUBLES,FX40,2023-03-26
G157,M85,2,11,9,T108,T71,Pro,STANDARD_DOUBLES,D40,2023-02-18
G389,M253,1,15,6,T335,T336,"4.0",STANDARD_DOUBLES,FX40,2023-10-25
G397,M254,4,11,4,T337,T338,"4.0",STANDARD_DOUBLES,FX40,2023-10-02
G162,M87,2,11,6,T104,T116,Pro,STANDARD_DOUBLES,D40,2023-03-11
G435,M254,5,11,7,T337,T338,"4.0",STANDARD_DOUBLES,FX40,2023-10-02
G442,M291,1,15,7,T150,T372,"4.0",STANDARD_DOUBLES,D40,2023-11-04
G163,M87,1,13,11,T116,T104,Pro,STANDARD_DOUBLES,D40,2023-03-11
G461,M304,1,15,5,T379,T150,"4.0",STANDARD_DOUBLES,D40,2023-11-04
G467,M308,1,15,5,T383,T380,"4.5",STANDARD_DOUBLES,D40,2023-11-04
G477,M314,1,15,3,T386,T380,"4.5",STANDARD_DOUBLES,D40,2023-11-04
G482,M318,1,11,1,T365,T364,"4.0",STANDARD_DOUBLES,U,2023-10-01
G487,M322,1,11,5,T159,T312,"4.0",STANDARD_DOUBLES,D40,2023-11-01
G492,M327,1,11,7,T312,T159,"4.0",STANDARD_DOUBLES,D40,2023-11-01
G496,M331,1,15,8,T396,T397,"5.0",STANDARD_DOUBLES,O,2023-11-12
G500,M335,1,11,6,T399,T397,"5.0",STANDARD_DOUBLES,O,2023-11-12
G504,M339,1,13,8,T159,T312,"4.0",STANDARD_DOUBLES,D40,2023-11-10
G507,M342,1,11,9,T400,T66,Pro,STANDARD_DOUBLES,D40,2023-04-08
G509,M344,1,11,8,T406,T405,"4.0",STANDARD_DOUBLES,CORE,2023-11-18
G511,M346,1,11,7,T410,T409,"4.0",STANDARD_DOUBLES,FX40,2023-11-24
G512,M347,1,11,5,T410,T409,"4.0",STANDARD_DOUBLES,FX40,2023-11-24
G513,M348,1,11,5,T410,T409,"4.0",STANDARD_DOUBLES,FX40,2023-11-24
G182,M101,1,11,6,T138,T139,"5.0",STANDARD_DOUBLES,D40,2023-04-22
G188,M101,3,11,7,T138,T139,"5.0",STANDARD_DOUBLES,D40,2023-04-22
G18,M10,1,11,6,T13,T14,Pro,STANDARD_DOUBLES,D40,2022-05-21
G196,M107,1,11,6,T147,T145,Pro,STANDARD_DOUBLES,D40,2023-02-26
