"player_id","gender","dom_hand","doubles_dupr","doublesreliabilityscore"
P699,M,L,,
P600,M,R,4.101,5.0000
P472,M,R,,
P320,M,R,,0.0000
P290,M,L,3.967,1.0000
P603,M,R,3.867,5.0000
P338,F,R,5.537,99.0000
P769,M,R,,
P543,M,R,,
P720,M,R,,
P754,M,R,,
P916,F,R,,
P988,M,R,,
P252,M,R,,
P235,F,R,,
P132,M,R,,
P814,M,R,,
P780,M,R,,
P772,M,R,,
P362,M,R,,
P509,M,R,3.895,81.0000
P948,M,R,,
P917,F,R,,
P761,F,R,,
P582,M,R,5.023,100.0000
P38,M,R,,
P793,M,R,,
P383,M,R,3.684,32.0000
P614,M,R,,
P729,F,R,4.760,45.0000
P631,M,R,,
P213,M,R,4.109,100.0000
P510,M,L,,
P612,M,R,4.187,38.0000
P54,M,R,,
P800,M,R,,
P669,F,R,,
P885,F,R,,
P57,M,R,5.127,98.0000
P558,F,R,4.977,71.0000
P683,M,R,,
P435,M,R,3.591,24.0000
P99,M,R,5.046,75.0000
P863,M,R,,
P185,F,R,5.782,100.0000
P411,M,R,4.522,100.0000
P246,M,R,,
P160,M,R,5.878,100.0000
P106,M,R,,
P162,M,R,,
P731,F,R,,
P438,M,R,3.224,47.0000
P458,M,R,,
P981,M,R,,
P573,F,R,4.656,64.0000
P766,M,R,,
P946,M,R,,
P771,M,R,,
P45,F,R,,
P654,M,R,,
P294,M,R,,
P143,F,R,6.073,100.0000
P125,M,R,3.871,100.0000
P301,M,R,4.980,2.0000
P92,M,L,6.416,100.0000
P733,F,R,,
P984,M,R,,
P5,F,R,6.051,100.0000
P491,M,R,5.045,13.0000
P585,M,L,4.640,100.0000
P78,M,R,,
P89,M,R,5.140,98.0000
P980,M,R,,
P210,F,R,4.770,94.0000
P520,M,R,,
P283,,,,
P344,M,R,5.122,66.0000
P254,M,R,5.182,42.0000
P779,M,R,,
P298,M,R,5.248,21.0000
P126,M,R,,
P717,M,R,,
P676,M,R,,
P176,M,R,4.883,100.0000
P785,M,R,,
P745,F,R,,
P656,M,R,,
P626,M,R,,
P569,M,R,,
P413,M,R,4.945,76.0000
P592,M,R,5.678,40.0000
P799,M,R,,
P646,F,R,,
P670,F,R,,
P452,M,R,3.672,35.0000
P887,F,R,,
P306,F,R,5.585,100.0000
P865,M,R,,
P601,M,R,,
P237,M,R,4.932,13.0000
P163,F,R,,
P150,M,R,4.716,35.0000
P949,M,R,,
P734,M,L,,
P609,M,R,4.002,100.0000
P428,M,R,4.920,100.0000
P832,M,R,,
P874,M,R,,
P67,F,L,5.281,100.0000
P324,M,R,4.459,3.0000
P661,F,R,,
P448,M,R,,
P115,M,R,6.996,100.0000
P293,F,R,6.053,100.0000
P714,M,R,,
P967,F,R,,
P870,M,R,,
P152,M,L,4.255,41.0000
P604,M,R,3.761,10.0000
P871,M,R,,
P201,F,R,5.946,100.0000
P37,M,R,5.693,100.0000
P450,M,R,3.372,1.0000
P682,M,L,,
P922,M,R,,
P340,F,R,5.677,92.0000
P496,M,R,4.972,100.0000
P480,M,L,5.924,100.0000
P181,M,R,5.506,100.0000
P556,F,R,,
P736,M,R,,
P713,M,R,,
P873,M,R,,
P299,M,L,6.209,99.0000
P323,M,R,4.877,91.0000
P12,M,R,5.415,36.0000
P414,M,L,,
P388,M,R,6.078,100.0000
P755,M,R,5.035,76.0000
P75,M,R,5.446,25.0000
P136,M,R,,
P465,F,R,,
P473,M,R,,
P848,F,R,,
P316,M,R,,
P198,M,R,,
P16,F,R,6.388,100.0000
P464,F,R,5.393,100.0000
P421,M,R,4.004,100.0000
P49,M,R,4.911,75.0000
P292,F,R,5.545,100.0000
P938,M,R,,
P817,F,R,,
P188,F,R,4.856,11.0000
P895,M,R,,
P133,M,R,,
P959,F,R,,
P773,M,R,,
P818,M,R,,
P157,M,R,5.901,100.0000
P964,M,R,,
P420,M,R,4.217,21.0000
P419,M,R,4.027,76.0000
P253,M,R,4.801,2.0000
P85,M,R,4.995,46.0000
P82,M,R,4.759,100.0000
P55,M,R,,
P97,M,R,6.576,100.0000
P696,M,R,,
P540,M,R,,
P432,M,R,3.874,86.0000
P267,M,R,5.502,25.0000
P591,F,R,,
P602,M,R,3.787,63.0000
P613,M,R,4.601,100.0000
P180,M,R,4.125,51.0000
P665,F,R,,
P404,F,L,,
P385,M,R,,
P266,F,R,,
P821,M,R,,
P575,F,R,4.362,100.0000
P925,M,R,,
P795,M,R,,
P546,M,L,4.739,76.0000
P460,M,R,2.290,27.0000
P424,M,R,4.052,68.0000
P941,M,R,,
P969,F,R,,
P131,M,R,,
P674,M,L,,
P101,M,R,5.156,100.0000
P501,M,R,,
P62,M,R,5.065,99.0000
P790,M,L,,
P775,M,R,,
P827,M,R,,
P741,M,R,,
P165,M,R,5.724,100.0000
P79,M,R,4.766,17.0000
P263,M,L,6.337,100.0000
P746,F,R,,
P595,F,R,,
P386,M,L,,
P913,M,R,,
P268,M,R,5.482,69.0000
P159,M,R,6.815,100.0000
P95,F,R,6.656,100.0000
P584,M,R,,
P709,M,R,,
P343,M,R,,
P898,M,R,,
P529,F,R,,
P570,M,R,4.556,71.0000
P705,M,R,,
P257,M,R,3.084,22.0000
P561,M,L,3.996,92.0000
P336,M,L,5.635,100.0000
P317,M,R,4.668,2.0000
P241,M,L,,
P83,M,R,4.503,6.0000
P44,F,L,5.281,95.0000
P971,F,R,,
P74,F,R,4.970,96.0000
P899,M,R,,
P280,M,R,6.565,3.0000
P469,M,R,,
P196,M,L,3.318,29.0000
P522,M,R,3.705,4.0000
P852,M,L,,
P923,M,R,,
P781,M,R,,
P982,M,R,,
P579,M,R,,
P572,M,R,,
P455,M,R,4.626,100.0000
P269,M,R,5.264,15.0000
P750,M,L,,
P968,F,R,,
P805,M,R,,
P255,M,R,4.025,1.0000
P287,F,R,5.758,100.0000
P434,M,R,,
P786,F,R,,
P405,M,R,,
P382,F,R,,
P410,M,R,4.077,74.0000
P483,M,R,4.740,17.0000
P329,M,R,4.268,88.0000
P811,F,R,,
P973,M,R,,
P518,F,R,,
P111,M,L,,
P660,F,R,,
P635,F,R,,
P794,M,R,,
P202,F,R,5.177,100.0000
P274,F,R,5.595,100.0000
P919,M,R,,
P622,F,R,4.842,100.0000
P251,M,R,,
P910,M,R,,
P735,F,R,,
P966,F,R,,
P880,M,R,,
P825,M,R,,
P816,F,R,,
P21,F,R,5.657,79.0000
P990,M,R,,
P113,M,L,,
P704,M,R,,
P281,F,R,6.029,100.0000
P841,M,L,,
P42,F,R,,
P189,M,R,,
P651,M,R,,
P103,M,R,4.687,37.0000
P888,M,R,,
P403,R,R,,
P972,M,R,,
P116,M,L,5.765,100.0000
P685,M,R,,
P128,F,L,5.980,100.0000
P970,F,R,,
P191,M,L,3.739,89.0000
P40,M,R,,
P8,M,R,6.530,100.0000
P392,M,L,3.689,100.0000
P441,M,R,3.471,74.0000
P91,M,R,7.171,100.0000
P70,F,R,7.021,100.0000
P425,M,R,4.091,59.0000
P146,F,R,,
P830,M,R,,
P748,M,R,,
P650,M,R,,
