"rally_id","game_id","match_id","rally_nbr","w_team_id","srv_team_id","srv_player_id","rtrn_team_id","rtrn_player_id","ts_player_id","ts_type","to_ind","to_team_id","rally_len","ending_type","ending_player_id","srv_switch_ind","rtrn_switch_ind","srv_team_flipped_ind","rtrn_team_flipped_ind","srv_team_rs_player_id","srv_team_ls_player_id","rtrn_team_rs_player_id","rtrn_team_ls_player_id"
R8968,G208,M113,6,T152,T152,P202,T155,P70,P202,Drop,N,N/A,14,Other,N/A,Y,N,N,N,P203,P202,P70,P205
R8963,G208,M113,1,T155,T152,P202,T155,P70,N/A,Drop,N,N/A,13,Error,P203,Y,N,N,N,P203,P202,P70,P205
R8964,G208,M113,2,T152,T155,P70,T152,P202,P205,Drive,N,N/A,5,Error,P205,N,Y,N,N,P70,P205,P203,P202
R8965,G208,M113,3,T155,T155,P205,T152,P203,P205,Drop,N,N/A,8,Error,P203,N,Y,N,N,P70,P205,P203,P202
R8966,G208,M113,4,T155,T155,P205,T152,P202,P70,Drop,N,N/A,11,Winner,P205,Y,Y,Y,N,P70,P205,P203,P202
R8967,G208,M113,5,T152,T155,P205,T152,P203,P205,Drive,N,N/A,7,Error,P70,N,Y,N,N,P70,P205,P203,P202
R8969,G208,M113,7,T155,T152,P202,T155,P205,P202,Drop,N,N/A,9,Error,P202,N,N,Y,N,P203,P202,P70,P205
R8970,G208,M113,8,T155,T152,P203,T155,P70,P203,Drop,N,N/A,13,Error,P203,N,N,Y,N,P203,P202,P70,P205
R8971,G208,M113,9,T152,T155,P70,T152,P203,P70,Drive,N,N/A,4,Winner,P202,N,N,N,Y,P70,P205,P203,P202
R8972,G208,M113,10,T155,T155,P205,T152,P202,P70,Drive,N,N/A,3,Winner,P70,N,N,N,Y,P70,P205,P203,P202
R8973,G208,M113,11,T152,T155,P205,T152,P203,P205,Drop,N,N/A,5,Error,P205,Y,N,Y,Y,P70,P205,P203,P202
