"team_id","player_id","player_seq_nbr"
T3,P5,1
T3,P2,2
T5,P8,1
T5,P9,2
T7,P12,1
T7,P13,2
T11,P19,1
T11,P20,2
T12,P21,1
T12,P22,2
T13,P23,1
T13,P24,2
T14,P25,1
T14,P26,2
T15,P27,1
T15,P28,2
T16,P16,1
T16,P29,2
T17,P24,1
T17,P6,2
T18,P23,1
T18,P13,2
T19,P28,1
T19,P30,2
T20,P30,1
T20,P2,2
T21,P1,1
T21,P31,2
T22,P32,1
T22,P33,2
T23,P34,1
T23,P35,2
T24,P33,1
T24,P36,2
T25,P37,1
T25,P38,2
T26,P39,1
T26,P40,2
T27,P32,1
T27,P41,2
T28,P42,1
T28,P43,2
T29,P44,1
T29,P45,2
T30,P46,1
T30,P47,2
T32,P49,1
T32,P50,2
T33,P51,1
T33,P52,2
T34,P23,1
T31,P28,2
T34,P53,2
T35,P54,1
T35,P55,2
T36,P33,1
T36,P56,2
T37,P57,1
T37,P58,2
T38,P59,1
T38,P60,2
T39,P61,1
T39,P33,2
T40,P62,1
T40,P63,2
T41,P33,1
T41,P64,2
T42,P22,1
T42,P65,2
T43,P66,1
T43,P13,2
T44,P67,1
T44,P68,2
T45,P69,1
T45,P70,2
T46,P53,1
T46,P71,2
T47,P72,1
T47,P8,2
T48,P21,1
T48,P73,2
T49,P74,1
T49,P24,2
T50,P75,1
T50,P62,2
T51,P50,1
T51,P76,2
T52,P77,1
T52,P78,2
T53,P79,1
T53,P75,2
T54,P79,1
T54,P49,2
T55,P80,1
T55,P50,2
T56,P75,1
T56,P81,2
T57,P82,1
T57,P83,2
T58,P84,1
T58,P85,2
T59,P60,1
T59,P86,2
T60,P62,1
T60,P33,2
T61,P62,1
T61,P50,2
T62,P87,1
T62,P88,2
T63,P89,1
T63,P90,2
T64,P79,1
T64,P62,2
T65,P3,1
T65,P2,2
T66,P27,1
T66,P16,2
T67,P3,1
T67,P24,2
T68,P29,1
T68,P91,2
T69,P13,1
T69,P53,2
T70,P92,1
T70,P93,2
T71,P3,1
T71,P16,2
T72,P94,1
T72,P95,2
T73,P93,1
T73,P8,2
T74,P12,1
T74,P96,2
T75,P23,1
T75,P97,2
T76,P2,1
T76,P98,2
T77,P28,1
T77,P96,2
T78,P87,1
T78,P89,2
T79,P99,1
T79,P100,2
T80,P101,1
T80,P102,2
T81,P103,1
T81,P104,2
T82,P105,1
T82,P106,2
T83,P107,1
T83,P13,2
T85,P107,1
T85,P110,2
T86,P111,1
T86,P112,2
T87,P113,1
T87,P26,2
T88,P114,1
T88,P115,2
T89,P116,1
T89,P117,2
T90,P118,1
T90,P119,2
T92,P123,2
T93,P124,1
T93,P125,2
T94,P126,1
T91,P120,1
T91,P121,2
T92,P122,1
T94,P127,2
T95,P128,1
T95,P129,2
T97,P131,1
T97,P87,2
T98,P89,1
T98,P132,2
T99,P50,1
T99,P81,2
T101,P31,1
T100,P133,1
T100,P134,2
T101,P135,2
T104,P138,1
T104,P22,2
T105,P139,1
T105,P140,2
T107,P15,1
T107,P143,2
T108,P14,1
T108,P5,2
T109,P5,1
T109,P95,2
T112,P70,1
T112,P148,2
T113,P149,1
T113,P150,2
T110,P145,2
T110,P144,1
T111,P146,1
T111,P147,2
